string_id,gene_name,uniprot_id,uniprot_ac,protein_fullname,degree,degree_cent,betweenness,closeness,eigenvector,pagerank,k_core,clustering_coeff,weighted_degree,community_id,community_size,participation_coeff,within_module_z,num_comm_connected,protein_role,label
9606.ENSP00000361048,LURAP1,LURA1_HUMAN,Q96LR2,Leucine rich adaptor protein 1,2.0,0.000125937,0.0,0.196499349,1.04e-07,1.66e-05,2.0,0.810694171,1735.0,4.0,2493.0,0.0,-0.592156475,0.0,peripheral,0
9606.ENSP00000361083,ADIRF,ADIRF_HUMAN,Q15847,Adipogenesis regulatory factor,1.0,6.3e-05,0.0,0.223089478,5.68e-06,1.09e-05,1.0,0.0,789.0,7.0,1183.0,0.0,-0.72102618,0.0,peripheral,0
9606.ENSP00000361092,SURF6,SURF6_HUMAN,O75683,Surfeit locus protein 6,80.0,0.005037466,0.000216011,0.24918039,0.010052174,7.79e-05,62.0,0.516375294,67890.0,17.0,842.0,0.0965625,-0.167330551,3.0,peripheral,0
9606.ENSP00000361202,IRS4,IRS4_HUMAN,O14654,Insulin receptor substrate 4,38.0,0.002392796,0.000113906,0.271889738,0.000191595,7.97e-05,29.0,0.313205232,34851.0,1.0,2329.0,0.195290859,0.242780414,3.0,peripheral,0
9606.ENSP00000361209,SPACA9,SACA9_HUMAN,Q96E40,Sperm acrosome-associated protein 9,34.0,0.002140923,0.0,0.217300243,8.97e-06,7.38e-05,34.0,0.824500369,27754.0,22.0,371.0,0.057093426,1.728700051,1.0,peripheral,0
9606.ENSP00000361264,RAPGEF1,RPGF1_HUMAN,Q13905,Rap guanine nucleotide exchange factor 1,31.0,0.001952018,6.01e-05,0.2654175,0.000257006,6.64e-05,24.0,0.245706233,26014.0,1.0,2329.0,0.335067638,-0.016355967,3.0,peripheral,0
9606.ENSP00000361337,PLAC9,PLAC9_HUMAN,Q5JTB6,Placenta-specific protein 9,1.0,6.3e-05,0.0,0.16498093,5.08e-09,1.5e-05,1.0,0.0,756.0,1.0,2329.0,0.0,-0.707386318,0.0,peripheral,0
9606.ENSP00000361366,SFTPD,SFTPD_HUMAN,P35247,Pulmonary surfactant-associated protein D,15.0,0.000944525,0.000342464,0.237104028,1.03e-05,6.47e-05,10.0,0.152208984,12969.0,4.0,2493.0,0.56,-0.327691034,2.0,peripheral,0
9606.ENSP00000361373,KLF17,KLF17_HUMAN,Q5JT82,Krueppel-like factor 17,2.0,0.000125937,0.0,0.189778796,1.54e-07,1.42e-05,2.0,0.0,1482.0,20.0,1252.0,0.0,-0.660386345,0.0,peripheral,0
9606.ENSP00000361418,IPO13,IPO13_HUMAN,D3DPY4,Importin-13,21.0,0.001322335,0.000122661,0.244680699,0.000348848,5.04e-05,14.0,0.137321438,17153.0,11.0,893.0,0.589569161,-0.434383598,6.0,peripheral,1
