string_id,gene_name,uniprot_id,uniprot_ac,protein_fullname,label,og_label,depmap_class,final_classification,depmap_dependent_lines,depmap_total_lines,depmap_pct_lines,n_approved_drugs,n_approved_drugs_drugcentral,n_approved_drugs_dgidb,n_drugbank_drugs,n_total_approved_drugs,any_approved_drug,drugbank_ids,n_total_cancer_trials,n_active_trials,n_completed_trials,n_chembl_activities,n_distinct_molecules,n_clinical_or_approved_compounds,protein_role,degree,degree_cent,betweenness,closeness,eigenvector,pagerank,k_core,clustering_coeff,weighted_degree,community_id,community_size,participation_coeff,within_module_z,num_comm_connected,depmap_is_ceg,depmap_is_cseg_flag
9606.ENSP00000418082,RPL37A,RL37A_HUMAN,P12751,60S ribosomal protein L37a,1,CEGs,DEPMAP-CEG,CEG_combined,1208,1208,100.0,1,0,1,0,1,True,,0,0,0,241,102,0,peripheral,244.0,0.015364272,5.13e-05,0.286623336,0.071828268,0.000189607,112.0,0.50215722,224323.0,17.0,842.0,0.048441279,1.652809518,5.0,True,False
9606.ENSP00000418221,RPL7L1,RL7L_HUMAN,A8K7D4,60S ribosomal protein L7-like 1,1,CEGs,DEPMAP-CEG,CEG_combined,379,381,99.48,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,214.0,0.013475222,4.73e-06,0.278437595,0.067047023,0.000151965,112.0,0.57376603,190685.0,17.0,842.0,0.045942877,1.326981974,3.0,True,False
9606.ENSP00000418563,U2SURP,SR140_HUMAN,A0PJ60,,1,CEGs,DEPMAP-CEG,CEG_combined,1201,1208,99.42,0,0,0,0,0,False,,0,0,0,11,3,0,peripheral,36.0,0.00226686,1.77e-05,0.232962241,0.000288814,5.37e-05,26.0,0.422921909,30094.0,11.0,893.0,0.054012346,0.177848281,1.0,True,False
9606.ENSP00000418695,PSMD6,PSMD6_HUMAN,A8K2E0,26S proteasome non-ATPase regulatory subunit 6,1,CEGs,DEPMAP-CEG,CEG_combined,1206,1208,99.83,3,0,3,0,3,True,,0,0,0,150,70,0,provincial_hub,76.0,0.004785593,3.74e-05,0.264304996,0.001800622,0.000118249,40.0,0.500612205,70042.0,3.0,1094.0,0.149238227,2.581541182,3.0,True,False
9606.ENSP00000419449,EIF1,EIF1_HUMAN,P41567,Eukaryotic translation initiation factor 1,1,UNLABELED,DEPMAP-CEG,CEG_combined,1191,1208,98.59,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,84.0,0.005289339,2.68e-05,0.269426205,0.024190675,7.94e-05,64.0,0.690589364,77754.0,17.0,842.0,0.092403628,-0.122388821,4.0,True,True
9606.ENSP00000419599,DPH3,DPH3_HUMAN,Q96FX2,DPH3 homolog,1,UNLABELED,DEPMAP-CEG,CEG_combined,1131,1208,93.63,0,0,0,0,0,False,,0,0,0,0,0,0,connector,14.0,0.000881557,0.000108823,0.230997252,0.000401494,5.63e-05,7.0,0.295338244,12189.0,19.0,419.0,0.653061224,-0.214671313,4.0,True,False
9606.ENSP00000419665,SSBP1,SSBP_HUMAN,Q04837,,1,UNLABELED,DEPMAP-intermediate,unclassified,552,1208,45.7,0,0,0,0,0,False,,2,2,0,4,2,0,peripheral,43.0,0.002707638,0.000209604,0.264510335,0.005375672,5.98e-05,30.0,0.212169081,34603.0,5.0,888.0,0.617631152,-0.509726912,5.0,True,False
9606.ENSP00000419881,RAD51B,RA51B_HUMAN,O15315,DNA repair protein RAD51 homolog 2,1,UNLABELED,DEPMAP-CSEG-like,CSEG_combined,155,1208,12.83,0,0,0,0,0,False,,13,4,2,0,0,0,peripheral,50.0,0.003148416,1.47e-05,0.248904286,0.0001612,8.03e-05,35.0,0.437706772,41250.0,5.0,888.0,0.152,0.611433809,4.0,False,True
9606.ENSP00000420306,THOC5,THOC5_HUMAN,O60839,THO complex subunit 5 homolog,1,CEGs,DEPMAP-CEG,CEG_combined,1184,1208,98.01,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,40.0,0.002518733,0.000350426,0.255371855,0.000148916,7.46e-05,24.0,0.285662901,34895.0,11.0,893.0,0.43375,-0.016952771,2.0,True,False
9606.ENSP00000420311,RPL23,RL23_HUMAN,P23131,60S ribosomal protein L23,1,CEGs,DEPMAP-CEG,CEG_combined,1208,1208,100.0,1,0,1,0,1,True,,0,0,0,243,103,0,provincial_hub,371.0,0.023361249,0.001165423,0.296170592,0.088982533,0.000298441,112.0,0.316442608,338234.0,17.0,842.0,0.139144586,2.843765365,7.0,True,False
